1つ	ヒトツ
尼	アマ
尾	オ
尿	ニョウ
尿毒症	ニョウドクショウ
局所	キョクショ
局部	キョクブ
局長	キョクチョウ
局面	キョクメン
屁	ヘ
居	キョ
居ずまい	イズマイ
居候	イソウロウ
居合抜	イアイヌキ
居士	コジ
居宅	キョタク
居心地	イゴコチ
居直り強盗	イナオリゴウトウ
居間	イマ
屈辱	クツジョク
屋	ヤ
屋上	オクジョウ
屋台	ヤタイ
屋号	ヤゴウ
屋敷	ヤシキ
屋根	ヤネ
屑	クズ
層	ソウ
履歴	リレキ
山	ヤマ
山々	ヤマヤマ
山の芋	ヤマノイモ
山上	サンジョウ
山下	ヤマシタ
山伏	ヤマブシ
山出し	ヤマダシ
山吹	ヤマブキ
山地	サンチ
山姥	ヤマウバ
山寺	ヤマデラ
山嵐	ヤマアラシ
山川	ヤマカワ
山師	ヤマシ
山桃	ヤマモモ
山桜	ヤマザクラ
山椒	サンショウ
山河	サンガ
山羊	ヤギ
山芋	ヤマイモ
山茶花	サザンカ
山菜	サンサイ
山葵	ワサビ
山賊	サンゾク
山道	サンドウ
山門	サンモン
山高帽子	ヤマタカボウシ
岡	オカ
岡っ引き	オカッピキ
岩	イワ
岩塩	ガンエン
岸	キシ
岸辺	キシベ
峠	トウゲ
峡谷	キョウコク
峯	ミネ
島	シマ
崇高	スウコウ
崎	サキ
崖	ガケ
崩し	クズシ
崩れ	クズレ
嵐	アラシ
嵩	カサ
巌	イワオ
川	カワ
川はば	カワハバ
川下	カワシモ
川原	カワハラ
川端	カワバタ
州	シュウ
巡り	メグリ
巡査	ジュンサ
工	コウ
工兵	コウヘイ
工合	グアイ
工廠	コウショウ
工芸	コウゲイ
左	ヒダリ
左側	ヒダリガワ
左向	サコウ
左手	ヒダリテ
左翼	サヨク
左舷	サゲン
左記	サキ
巨人	キョジン
巨匠	キョショウ
巨峰	キョホウ
差	サ
差し	サシ
差出人	サシダシニン
差支	サシツカエ
差支え	サシツカエ
差異	サイ
差違	サイ
巻	マキ
巻煙草	マキタバコ
巻紙	マキガミ
巻頭	カントウ
巾	ハバ
巾着	キンチャク
巾着切	キンチャクキリ
市	シ
市中	シチュウ
市内	シナイ
市場	シジョウ
市民	シミン
市電	シデン
布	ヌノ
布令	フレイ
布団	フトン
布巾	フキン
帆	ホ
帖	ジョウ
帝	ミカド
帝国	テイコク
帝都	テイト
帥	ソチ
師匠	シショウ
師弟	シテイ
師範	シハン
師表	シヒョウ
師走	シワス
師道	シドウ
席	セキ
席末	セキマツ
席順	セキジュン
帯	オビ
帰り	カエリ
帰り道	カエリミチ
帰り際	カエリギワ
帳場	チョウバ
帳面	チョウメン
常	ツネ
常人	ジョウジン
常態	ジョウタイ
常磐	トキワ
常識	ジョウシキ
常連	ジョウレン
常道	ジョウドウ
帽子	ボウシ
幅	ハバ
幕	マク
幣	ヌサ
干潮	カンチョウ
干物	ホシモノ
干瓢	カンピョウ
平	タイラ
平たい	ヒラタイ
平仮名	ヒラガナ
平凡	ヘイボン
平地	ヒラチ
平家	ヒラカ
平屋	ヒラヤ
平常	ヘイジョウ
平手	ヒラテ
平時	ヘイジ
平板	ヘイバン
平気	ヘイキ
平素	ヘイソ
平面	ヘイメン
年	トシ
年の功	トシノコウ
年の暮	トシノクレ
年上	トシウエ
年始	ネンシ
年寄	トシヨリ
年寄り	トシヨリ
年嵩	トシカサ
年廻り	トシマワリ
年数	ネンスウ
年月	トシツキ
年格好	トシカッコウ
年歯	ネンシ
年賀	ネンガ
年輩	ネンパイ
年頃	トシゴロ
年齢	ネンレイ
幸	コウ
幸運	コウウン
幹	ミキ
幹事	カンジ
幻	マボロシ
幻影	ゲンエイ
幻聴	ゲンチョウ
幼	ヨウ
幼児	ヨウジ
幼名	ヨウメイ
幼子	オサナゴ
幼少	ヨウショウ
幼稚園	ヨウチエン
幼虫	ヨウチュウ
幽冥	ユウメイ
幽谷	ユウコク
幽霊	ユウレイ
幾つ	イクツ
幾何	キカ
幾分	イクブン
幾多	イクタ
幾度	イクド
幾日	イクニチ
庁	チョウ
広め	ヒロメ
広場	ヒロバ
広葉樹	コウヨウジュ
広間	ヒロマ
庄屋	ショウヤ
庇	ヒサシ
床	ユカ
床の間	トコノマ
床几	ショウギ
床屋	トコヤ
床板	トコイタ
床柱	トコバシラ
序幕	ジョマク
序開き	ジョビラキ
底	ソコ
底本	テイホン
店	ミセ
店先	ミセサキ
店内	テンナイ
店頭	テントウ
府	フ
度	ド
度合	ドアイ
度数	ドスウ
度盛	ドモリ
度胸	ドキョウ
座	ザ
座布団	ザブトン
座席	ザセキ
座敷	ザシキ
座興	ザキョウ
座蒲団	ザブトン
庫	クラ
庭	ニワ
庭下駄	ニワゲタ
庭先	ニワサキ
庭前	テイゼン
庭口	ニワグチ
庭園	テイエン
庭木	ニワキ
庭梅	ニワウメ
庵	アン
廂	ヒサシ
廊下	ロウカ
廬	イオリ
建	ケン
建具	タテグ
建物	タテモノ
廻し	マワシ
廻り	マワリ
廻り合せ	メグリアワセ
廿	ニジュウ
弁口	ベンコウ
弁当	ベントウ
弁舌	ベンゼツ
弊	ヘイ
弊風	ヘイフウ
式	シキ
式場	シキジョウ
式部	シキブ
弓	ユミ
弓矢	ユミヤ
弔詞	チョウシ
引き	ヒキ
引き合	ヒキアイ
引き渡し	ヒキワタシ
引け	ヒケ
引力	インリョク
引取り手	ヒキトリテ
引合	ヒキアイ
引合い	ヒキアイ
引掛	ヒッカカリ
引窓	ヒキマド
弛み	ユルミ
弟	オトウト
弧線	コセン
弩	イシユミ
弱点	ジャクテン
弱虫	ヨワムシ
張	チョウ
張り	ハリ
張付け	ハリツケ
張合	ハリアイ
張合い	ハリアイ
張本	チョウホン
張番	ハリバン
強弩	キョウド
強情	ゴウジョウ
強盗	ゴウトウ
強精剤	キョウセイザイ
強者	ツワモノ
強談	ゴウダン
弾	タマ
弾丸	ダンガン
弾力	ダンリョク
弾道	ダンドウ
当	トウ
当て	アテ
当り	アタリ
当り障り	アタリサワリ
当主	トウシュ
当人	トウニン
当地	トウチ
当家	トウケ
当座	トウザ
当該	トウガイ
彗星	スイセイ
形	カタチ
形体	ケイタイ
形勝	ケイショウ
形勢	ケイセイ
形容詞	ケイヨウシ
形式	ケイシキ
形而下	ケイジカ
形跡	ケイセキ
形骸	ケイガイ
彫り	ホリ
影	カゲ
影ぼうし	カゲボウシ
影像	エイゾウ
影法師	カゲボウシ
役	ヤク
役人	ヤクニン
役割	ヤクワリ
役員	ヤクイン
役所	ヤクショ
役目	ヤクメ
役者	ヤクシャ
彼岸	ヒガン
彼岸桜	ヒガンザクラ
彼岸花	ヒガンバナ
往き	ユキ
往き来	ユキキ
往昔	オウセキ
径路	ケイロ
待	マチ
待ち	マチ
待ち伏せ	マチブセ
待合	マチアイ
律	リツ
後	ノチ
後なん	コウナン
後れ	オクレ
後ろ	ウシロ
後ろ向	ウシロムキ
後ろ向き	ウシロムキ
後任	コウニン
後光	ゴコウ
後列	コウレツ
後姿	ウシロスガタ
後学	コウガク
後廻し	アトマワシ
後方	コウホウ
後架	コウカ
後生	ゴショウ
後生大事	ゴショウダイジ
後者	コウシャ
後裔	コウエイ
後足	アトアシ
後部	コウブ
後鉢巻	ウシロハチマキ
徐々	ジョジョ
徒	ト
徒刑	トケイ
徒労	トロウ
従前	ジュウゼン
従卒	ジュウソツ
従妹	ジュウマイ
従姉妹	イトコ
従容	ショウヨウ
従者	ジュウシャ
得	トク
得々	トクトク
得たい	エタイ
得て	エテ
得体	エタイ
得手	エテ
得策	トクサク
御上	オカミ
御両人	ゴリョウニン
御代	ミヨ
御会式	オエシキ
御免	ゴメン
御利益	ゴリヤク
御前	ゴゼン
御召	オメシ
御台	ミダイ
御名	ギョメイ
御国	オクニ
御大	オンタイ
御存じ	ゴゾンジ
御存知	ゴゾンジ
御座	ギョザ
御影石	ミカゲイシ
御念	ゴネン
御意	ギョイ
御意向	ゴイコウ
御慶	ギョケイ
御機嫌	ゴキゲン
御歳暮	オセイボ
御殿	ゴテン
御法度	ゴハット
御用	ゴヨウ
御用達	ゴヨウタツ
御礼	オレイ
御膳	ゴゼン
御苦労	ゴクロウ
御蔭	オカゲ
御蔭様	オカゲサマ
御覧	ゴラン
御託宣	ゴタクセン
御足労	ゴソクロウ
御身	オンミ
御酒	ミキ
御門	ミカド
御難	ゴナン
御願	ゴガン
御飯	ゴハン
微光	ビコウ
微塵	ミジン
微衷	ビチュウ
微醺	ビクン
徳	トク
徳利	トックリ
徳義心	トクギシン
徴	シルシ
徴候	チョウコウ
徽章	キショウ
心	ココロ
心づかい	ココロヅカイ
心もち	ココロモチ
心地	ココチ
心境	シンキョウ
心太	トコロテン
心当り	ココロアタリ
心待ち	ココロマチ
心得	ココロエ
心得違い	ココロエチガイ
心意	シンイ
心持	ココロモチ
心持ち	ココロモチ
心掛け	ココロガケ
心棒	シンボウ
心構え	ココロガマエ
心機	シンキ
心残り	ココロノコリ
心理	シンリ
心眼	シンガン
心神	シンシン
心算	シンサン
心置	ココロオキ
心置き	ココロオキ
心臓	シンゾウ
心遣い	ココロヅカイ
必然	ヒツゼン
必用	ヒツヨウ
忍	ニン
忍び	シノビ
忍び足	シノビアシ
志	ココロザシ
忘れ	ワスレ
忘年会	ボウネンカイ
忙中	ボウチュウ
応え	コタエ
快事	カイジ
快哉	カイサイ
快楽	カイラク
念	ネン
念頭	ネントウ
怒り	イカリ
怒声	ドセイ
怒気	ドキ
思い	オモイ
思いつき	オモイツキ
思いのほか	オモイノホカ
思いやり	オモイヤリ
思い付き	オモイツキ
思い入れ	オモイイレ
思い出	オモイデ
思い切り	オモイキリ
思召し	オボシメシ
思惑	オモワク
思想	シソウ
思想家	シソウカ
思慮	シリョ
思潮	シチョウ
急ぎ足	イソギアシ
急場	キュウバ
急所	キュウショ
急用	キュウヨウ
急病	キュウビョウ
性	セイ
性分	ショウブン
性情	セイジョウ
性慾	セイヨク
性格	セイカク
性欲	セイヨク
性癖	セイヘキ
性行	セイコウ
性質	セイシツ
怨恨	エンコン
怨言	エンゲン
怪	カイ
怪奇	カイキ
怪物	カイブツ
怪談	カイダン
怫然	フツゼン
恋	コイ
恋人	コイビト
恋煩い	コイワズライ
恍惚	コウコツ
恐れ	オソレ
恥	ハジ
恥知らず	ハジシラズ
恥辱	チジョク
恨み	ウラミ
恨事	コンジ
恩	オン
恩人	オンジン
恩顧	オンコ
恬然	テンゼン
恭謙	キョウケン
恭賀新年	キョウガシンネン
息女	ソクジョ
息子	ムスコ
息遣い	イキヅカイ
恰好	カッコウ
恵比寿	エビス
悄々	ショウショウ
悄然	ショウゼン
悔恨	カイコン
悟り	サトリ
悟道	ゴドウ
悠々	ユウユウ
悠々閑々	ユウユウカンカン
患者	カンジャ
悪	ワル
悪い	ワルイ
悪さ	ワルサ
悪もの	ワルモノ
悪事	アクジ
悪人	アクニン
悪僧	アクソウ
悪党	アクトウ
悪友	アクユウ
悪口	ワルグチ
悪太郎	アクタロウ
悪寒	オカン
悪意	アクイ
悪漢	アッカン
悪風	アクフウ
悪魔	アクマ
悲しみ	カナシミ
悲劇	ヒゲキ
悲哀	ヒアイ
悲境	ヒキョウ
悲壮	ヒソウ
悲運	ヒウン
悲鳴	ヒメイ
悵然	チョウゼン
情	ジョウ
情け	ナサケ
情勢	ジョウセイ
情合	ジョウアイ
情報	ジョウホウ
情夫	ジョウフ
情実	ジョウジツ
情慾	ジョウヨク
情操	ジョウソウ
情熱	ジョウネツ
情調	ジョウチョウ
惰性	ダセイ
想い出	オモイデ
愁え	ウレエ
愁然	シュウゼン
愉快	ユカイ
意	イ
意中	イチュウ
意向	イコウ
意嚮	イコウ
意地	イジ
意地張り	イジッパリ
意地悪	イジワル
意志	イシ
意気	イキ
意気地	イクジ
意気地なし	イクジナシ
意気組	イキグミ
意気込	イキゴミ
意気込み	イキゴミ
意義	イギ
愕然	ガクゼン
愚	グ
愚かもの	オロカモノ
愚人	グジン
愚劣	グレツ
愚図	グズ
愚妻	グサイ
愚物	グブツ
愚痴	グチ
愚策	グサク
愚見	グケン
愛	アイ
愛人	アイジン
愛国心	アイコクシン
愛嬌	アイキョウ
愛情	アイジョウ
愛想	アイソ
愛馬	アイバ
感	カン
感じ	カンジ
感傷	カンショウ
感情	カンジョウ
感想	カンソウ
感慨	カンガイ
感懐	カンカイ
感興	カンキョウ
感覚	カンカク
慄然	リツゼン
慈善	ジゼン
慈悲	ジヒ
慈雨	ジウ
態	タイ
態度	タイド
慎み	ツツシミ
慚愧	ザンキ
慢性	マンセイ
慣例	カンレイ
慰み	ナグサミ
慾	ヨク
憂目	ウキメ
憂身	ウキミ
憂鬱	ユウウツ
憎しみ	ニクシミ
憐れ	アワレ
憚り	ハバカリ
憚り様	ハバカリサマ
憤然	フンゼン
憫然	ビンゼン
憮然	ブゼン
憲法	ケンポウ
懇意	コンイ
懐	フトコロ
懐剣	カイケン
懐手	フトコロデ
懐旧	カイキュウ
懲り懲り	コリゴリ
懲役	チョウエキ
懸崖	ケンガイ
懸賞	ケンショウ
戈	ホコ
成句	セイク
成敗	セイバイ
成算	セイサン
成績	セイセキ
成行き	ナリユキ
成語	セイゴ
我	ガ
我勝ち	ワレガチ
我意	ガイ
我流	ガリュウ
戒名	カイミョウ
戦	セン
戦い	タタカイ
戦場	センジョウ
戦役	センエキ
截然	セツゼン
戸	ト
戸前	トマエ
戸口	トグチ
戸外	コガイ
戸惑い	トマドイ
戸棚	トダナ
戸袋	トブクロ
戻り	モドリ
房	ボウ
所	トコロ
所々	トコロドコロ
所以	ユエン
所作	ショサ
所在地	ショザイチ
所得	ショトク
所為	ショイ
扇	オウギ
扇子	センス
扉	トビラ
手	テ
手つき	テツキ
手のひら	テノヒラ
手の平	テノヒラ
手の甲	テノコウ
手下	テシタ
手並	テナミ
手中	シュチュウ
手付	テツケ
手伝	テツダイ
手伝い	テツダイ
手元	テモト
手先	テサキ
手出し	テダシ
手初め	テハジメ
手前	テマエ
手合	テアイ
手向け	タムケ
手始め	テハジメ
手巾	シュキン
手帖	テチョウ
手帳	テチョウ
手廻し	テマワシ
手心	テゴコロ
手応	テゴタエ
手応え	テゴタエ
手懸り	テガカリ
手拭	テヌグイ
手持無沙汰	テモチブサタ
手掛り	テガカリ
手放し	テバナシ
手数	テスウ
手本	テホン
手枕	テマクラ
手柄	テガラ
手桶	テオケ
手段	シュダン
手法	シュホウ
手燭	シュショク
手癖	テクセ
手真似	テマネ
手答	テゴタエ
手紙	テガミ
手織	テオリ
手織り	テオリ
手腕	シュワン
手落	テオチ
手落ち	テオチ
手蔓	テヅル
手製	テセイ
手足	テアシ
手蹟	シュセキ
手車	テグルマ
手近	テヂカ
手違い	テチガイ
手錠	テジョウ
手際	テギワ
手離	テバナレ
手頃	テゴロ
手首	テクビ
手馴	テナラシ
才	サイ
才人	サイジン
才子	サイシ
才気	サイキ
才能	サイノウ
才芸	サイゲイ
打	ダ
打ち壊	ウチコワシ
打て	ウツテ
打出の小槌	ウチデノコヅチ
打撃	ダゲキ
払い	ハライ
払込	ハライコミ
技	ワザ
技巧	ギコウ
技手	ギシュ
技芸	ギゲイ
技術	ギジュツ
抑え	オサエ
投	トウ
折	オリ
折々	オリオリ
折りたたみ	オリタタミ
折助	オリスケ
折戸	オリド
折角	セッカク
抜き	ヌキ
抜け殻	ヌケガラ
抜け毛	ヌケゲ
抜け目	ヌケメ
抜け裏	ヌケウラ
抜け道	ヌケミチ
抜手	ヌキテ
抜身	ヌキミ
抱え	カカエ
抱負	ホウフ
抹茶	マッチャ
押し	オシ
押し葉	オシバ
押入	オシイレ
押入れ	オシイレ
押問答	オシモンドウ
抽斗	ヒキダシ
拇指	ボシ
拍子	ヒョウシ
拍子木	ヒョウシギ
招魂	ショウコン
拝啓	ハイケイ
拠	ヨリドコロ
括り枕	ククリマクラ
拳	コブシ
拳骨	ゲンコツ
拵え事	コシラエゴト
持ち主	モチヌシ
持ち前	モチマエ
持ち物	モチモノ
持主	モチヌシ
持前	モチマエ
持物	モチモノ
持病	ジビョウ
持説	ジセツ
持駒	モチゴマ
指	ユビ
指先	ユビサキ
指導原理	シドウゲンリ
指数	シスウ
指針	シシン
指頭	シトウ
挙	キョ
挙動	キョドウ
振り	フリ
振子	フリコ
振舞	フルマイ
振袖	フリソデ
捕虜	ホリョ
捻り	ヒネリ
掃溜	ハキダメ
掌	テノヒラ
掏摸	スリ
掛け	カケ
掛けず	カケズ
掛り	カカリ
掛ケ	カケ
掛ケ合	カケアイ
掛合	カケアイ
掛声	カケゴエ
掛物	カケモノ
掛矢	カケヤ
掛算	カケザン
掛茶屋	カケヂャヤ
掛蒲団	カケブトン
掛金	カケキン
控	ヒカエ
控え	ヒカエ
控室	ヒカエシツ
掲示板	ケイジバン
揃い	ソロイ
揉療治	モミリョウジ
提灯	チョウチン
提琴	テイキン
揚げ	アゲ
揚板	アゲイタ
揚足	アゲアシ
握り拳	ニギリコブシ
握り飯	ニギリメシ
援兵	エンペイ
損	ソン
損得	ソントク
損料	ソンリョウ
摺	スリ
擂粉木	スリコギ
操	ミサオ
操行	ソウコウ
擒	トリコ
擬音	ギオン
支店	シテン
支払い	シハライ
改	アラタメ
放し	ホウシ
放課後	ホウカゴ
政体	セイタイ
政党	セイトウ
政府	セイフ
政治	セイジ
政治家	セイジカ
故	コ
故事	コジ
故人	コジン
故意	コイ
故郷	コキョウ
敏腕	ビンワン
救い	スクイ
敗	ハイ
敗者	ハイシャ
教	キョウ
教え	オシエ
教員	キョウイン
教場	キョウジョウ
教壇	キョウダン
教室	キョウシツ
教師	キョウシ
教授	キョウジュ
教科書	キョウカショ
教義	キョウギ
教頭	キョウトウ
散文	サンブン
敬具	ケイグ
敬語	ケイゴ
数	カズ
数え年	カゾエドシ
数奇	スウキ
数字	スウジ
数学	スウガク
数量	スウリョウ
敲き	タタキ
整然	セイゼン
敵	テキ
敵愾心	テキガイシン
敵討ち	カタキウチ
敷	シキ
敷居	シキイ
敷居越	シキイゴシ
敷島	シキシマ
敷布	シキフ
敷物	シキモノ
敷石	シキイシ
文	ブン
文人	ブンジン
文句	モンク
文壇	ブンダン
文士	ブンシ
文字	モジ
文字どおり	モジドオリ
文学	ブンガク
文房具	ブンボウグ
文才	ブンサイ
文明	ブンメイ
文献	ブンケン
文盲	モンモウ
文科	ブンカ
文章	ブンショウ
文芸	ブンゲイ
文金	ブンキン
斑	ムラ
斑入	フイリ
斑入り	フイリ
料	リョウ
料亭	リョウテイ
斜	ハス
斜め	ナナメ
斜面	シャメン
斥候	セッコウ
断	ダン
断り	コトワリ
断案	ダンアン
断片	ダンペン
断腸	ダンチョウ
斯道	シドウ
新	シン
新体詩	シンタイシ
新刊	シンカン
新劇	シンゲキ
新参	シンザン
新奇	シンキ
新婚	シンコン
新式	シンシキ
新形	シンガタ
新撰	シンセン
新来	シンライ
新橋	シンバシ
新着	シンチャク
新編	シンペン
新聞	シンブン
新聞紙	シンブンシ
新説	シンセツ
新道	シンドウ
方	ホウ
方々	カタガタ
方丈	ホウジョウ
方便	ホウベン
方向	ホウコウ
方寸	ホウスン
方案	ホウアン
方法	ホウホウ
方程式	ホウテイシキ
方角	ホウガク
方角違い	ホウガクチガイ
方言	ホウゲン
方針	ホウシン
方面	ホウメン
旁	ツクリ
旅人	タビビト
旅先	タビサキ
旅団	リョダン
旅客	リョカク
旅烏	タビガラス
旅費	リョヒ
旅館	リョカン
旋律	センリツ
旋毛曲り	ツムジマガリ
旗	ハタ
旗下	キカ
旗本	ハタモト
旗竿	ハタザオ
既倒	キトウ
日	ヒ
日どう	ニチドウ
日の丸	ヒノマル
日の出	ヒノデ
日の目	ヒノメ
日中	ニッチュウ
日傘	ヒガサ
日光	ニッコウ
日取り	ヒドリ
日向	ヒナタ
日和	ヒヨリ
日常	ニチジョウ
日当	ニットウ
日当り	ヒアタリ
日影	ヒカゲ
日数	ニッスウ
日暮	ヒグレ
日暮れ	ヒグレ
日月	ジツゲツ
日本一	ニッポンイチ
日本人	ニッポンジン
日本語	ニホンゴ
日没	ニチボツ
日盛り	ヒザカリ
日程	ニッテイ
日脚	ヒアシ
日蔭	ヒカゲ
日覆い	ヒオオイ
日記	ニッキ
日課	ニッカ
日除	ヒヨケ
日雇	ヒヤトイ
日頃	ヒゴロ
旦那	ダンナ
旧	キュウ
旧交	キュウコウ
旧劇	キュウゲキ
旧友	キュウユウ
旧幕	キュウバク
旧式	キュウシキ
旧悪	キュウアク
旧暦	キュウレキ
旧約	キュウヤク
旧記	キュウキ
旨	ムネ
早々	ソウソウ
早分り	ハヤワカリ
早口	ハヤクチ
早見	ハヤミ
早計	ソウケイ
早足	ハヤアシ
旬	シュン
旱魃	カンバツ
昂然	コウゼン
昆布	コンブ
昆虫	コンチュウ
明	アキラ
明々白々	メイメイハクハク
明き	アカキ
明星	ミョウジョウ
明朝	ミョウチョウ
明神	ミョウジン
明笛	ミンテキ
易	エキ
易者	エキシャ
昔気質	ムカシカタギ
昔話	ムカシバナシ
星	ホシ
星あかり	ホシアカリ
星め	ホシメ
星図	セイズ
星座	セイザ
星明り	ホシアカリ
星月夜	ホシヅキヨ
星祭	ホシマツリ
星辰	セイシン
星霜	セイソウ
映画	エイガ
映画館	エイガカン
春	ハル
春夏秋冬	シュンカシュウトウ
春宵	シュンショウ
春巻き	ハルマキ
春慶	シュンケイ
春日	シュンジツ
春画	シュンガ
春着	ハルギ
春風	シュンプウ
昭代	ショウダイ
是	ゼ
昼夜	チュウヤ
昼飯	ヒルメシ
時	トキ
時代	ジダイ
時価	ジカ
時候	ジコウ
時分	ジブン
時分どき	ジブンドキ
時刻	ジコク
時勢	ジセイ
時宜	ジギ
時局	ジキョク
時日	ジジツ
時機	ジキ
時節	ジセツ
時計	トケイ
時間割	ジカンワリ
晦渋	カイジュウ
晩	バン
晩食	バンショク
晩餐	バンサン
普段着	フダンギ
景気	ケイキ
景色	ケシキ
晴	ハレ
晴朗	セイロウ
晴着	ハレギ
智慧	チエ
智慮	チリョ
智者	チシャ
智謀	チボウ
智識	チシキ
暁	アカツキ
暇	ヒマ
暇乞い	イトマゴイ
暇潰し	ヒマツブシ
暑中	ショチュウ
暖	ダン
暖簾	ノレン
暗室	アンシツ
暗然	アンゼン
暗闇	クラヤミ
暗黒	アンコク
暦	コヨミ
暫時	ザンジ
暮	クレ
暮し	クラシ
暮し向	クラシムキ
暮し向き	クラシムキ
暮らし	クラシ
暴力	ボウリョク
暴君	ボウクン
暴威	ボウイ
暴風雨	ボウフウウ
曙光	ショコウ
曠野	アラノ
曰く	イワク
曰く付き	イワクツキ
曲	キョク
曲がり角	マガリカド
曲り角	マガリカド
曲直	キョクチョク
曲線	キョクセン
曲者	クセモノ
更紗	サラサ
書	ショ
書きとめ	カキトメ
書き損	カキソンジ
書き方	カキカタ
書体	ショタイ
書信	ショシン
書冊	ショサツ
書割	カキワリ
書家	ショカ
書巻	ショカン
書庫	ショコ
書斎	ショサイ
書物	ショモツ
書状	ショジョウ
書生	ショセイ
書画	ショガ
書留	カキトメ
書籍	ショセキ
書翰	ショカン
書記	ショキ
書面	ショメン
書類	ショルイ
曼珠沙華	マンジュシャゲ
最初	サイショ
最前	サイゼン
最古	サイコ
最大	サイダイ
最後	サイゴ
最後っ屁	サイゴッペ
最短時間	サイタンジカン
最高	サイコウ
月	ツキ
月々	ツキヅキ
月あかり	ツキアカリ
月下	ゲッカ
月下氷人	ゲッカヒョウジン
月並	ツキナミ
月例	ゲツレイ
月刊	ゲッカン
月夜	ツキヨ
月影	ツキカゲ
月日	ツキヒ
月給	ゲッキュウ
月見	ツキミ
月謝	ゲッシャ
月賦	ゲップ
有い	ユウイ
有り	ユウリ
有体	アリテイ
有余	ユウヨ
有名人	ユウメイジン
有夫	ユウフ
有様	アリサマ
有為転変	ウイテンペン
有無	ウム
朋友	ホウユウ
服	フク
服装	フクソウ
朗々	ロウロウ
望	モチ
望み	ノゾミ
望外	ボウガイ
望遠鏡	ボウエンキョウ
朝っぱら	アサッパラ
朝な夕な	アサナユウナ
朝めし	アサメシ
朝夕	アサユウ
朝敵	チョウテキ
朝顔	アサガオ
朝風呂	アサブロ
朝飯	アサメシ
期	キ
期日	キジツ
期限	キゲン
朦朧	モウロウ
朧月	オボロヅキ
木	キ
木の下	コノシタ
木の葉	コノハ
木像	モクゾウ
木強漢	ボッキョウカン
木彫	キボリ
木戸	キド
木札	キフダ
木材	モクザイ
木枯	コガラシ
木枯し	コガラシ
木槿	ムクゲ
木片	モクヘン
木犀	モクセイ
木目	モクメ
木立	コダチ
木綿	コワタ
木苺	キイチゴ
木製	モクセイ
木通	アケビ
木造	モクゾウ
木魚	モクギョ
未	ミ
未亡人	ミボウジン
未婚	ミコン
未曾有	ミゾウ
未来	ミライ
未生	ミショウ
未練	ミレン
未遂	ミスイ
末っ子	スエッコ
末代	マツダイ
末孫	マッソン
末席	マッセキ
末座	マツザ
末期	マッキ
末流	バツリュウ
末端	マッタン
本	ホン
本もの	ホンモノ
本人	ホンニン
本会	ホンカイ
本位	ホンイ
本体	ホンタイ
本務	ホンム
本名	ホンミョウ
本因坊	ホンインボウ
本国	ホンゴク
本堂	ホンドウ
本場	ホンバ
本家	ホンケ
本屋	ホンヤ
本式	ホンシキ
本当	ホントウ
本心	ホンシン
本性	ホンショウ
本意	ホンイ
本態	ホンタイ
本懐	ホンカイ
本所	ホンジョ
本文	ホンブン
本書	ホンショ
本校	ホンコウ
本棚	ホンダナ
本気	ホンキ
本物	ホンモノ
本県	ホンケン
本社	ホンシャ
本筋	ホンスジ
本職	ホンショク
本能	ホンノウ
本論	ホンロン
本質	ホンシツ
本領	ホンリョウ
本題	ホンダイ
札	サツ
朱	シュ
朱子学	シュシガク
朱肉	シュニク
朴念仁	ボクネンジン
机	ツクエ
机上	キジョウ
朽木	クチキ
杉	スギ
杉原	スギハラ
杏	アンズ
杏仁	キョウニン
杏子	アンズ
材	ザイ
材料	ザイリョウ
材質	ザイシツ
村	ムラ
杓子	シャクシ
杖	ツエ
束	タバ
束髪	ソクハツ
条	ジョウ
条り	ジョウリ
条件	ジョウケン
条理	ジョウリ
杢	モク
来い	ライイ
来客	ライキャク
来意	ライイ
来歴	ライレキ
来臨	ライリン
杭	クイ
杯	ハイ
東	ヒガシ
東方	トウホウ
東洋	トウヨウ
東西	トウザイ
東風	コチ
杵	キネ
松	マツ
松脂	マツヤニ
松茸	マツタケ
松葉杖	マツバヅエ
松風	マツカゼ
松飾	マツカザリ
板	イタ
板の間	イタノマ
板材	イタザイ
板間	イタノマ
枇杷	ビワ
枕	マクラ
枕元	マクラモト
枕辺	マクラベ
枕頭	チントウ
林	ハヤシ
林檎	リンゴ
果	ハテ
果てし	ハテシ
果報者	カホウモノ
果実	カジツ
果敢	カカン
果物	クダモノ
枝	エダ
枝振り	エダブリ
枝豆	エダマメ
枠	ワク
枯木	カレキ
枯葉	カレハ
枳殻	カラタチ
柄	エ
某	ボウ
某々	ボウボウ
某氏	ボウシ
柔	ヤワラ
柔ら	ヤワラ
柔術	ジュウジュツ
柔道	ジュウドウ
柘榴	ザクロ
柱	ハシラ
柱時計	ハシラドケイ
柳	ヤナギ
柳行李	ヤナギゴウリ
柴	シバ
柴刈り	シバカリ
柵	シガラミ
柿	カキ
栄	サカエ
栄耀	エイヨウ
栄誉	エイヨ
栓	セン
栗	クリ
栗鼠	リス
栞	シオリ
校	コウ
校内	コウナイ
校庭	コウテイ
校歌	コウカ
校舎	コウシャ
校長	コウチョウ
株	カブ
核果	カッカ
根	ネ
根っこ	ネッコ
根元	ネモト
根性	コンジョウ
根拠地	コンキョチ
根方	ネカタ
根本	コンポン
根気	コンキ
根菜	コンサイ
根負け	コンマケ
格	カク
格別	カクベツ
格子	コウシ
