942.1hPa	キュウヒャクヨンジュウニテンイチヘクトパスカル
京都府一真町	キョウトフイッシンチョウ
京都府一町目	キョウトフイッチョウメ
京都府五津合町	キョウトフイツアイチョウ
京都府五辻町	キョウトフイツツジチョウ
京都府行積	キョウトフイツモリ
京都府井筒町	キョウトフイヅツチョウ
京都府井筒屋町	キョウトフイヅツヤチョウ
京都府井手	キョウトフイデ
京都府井手町	キョウトフイデチョウ
京都府井手町井手	キョウトフイデチョウイデ
京都府井手町多賀	キョウトフイデチョウタガ
京都府井手町田村新田	キョウトフイデチョウタムラシンデン
京都府出野	キョウトフイデノ
京都府位田町	キョウトフイデンチョウ
京都府糸屋町	キョウトフイトヤチョウ
京都府稲次	キョウトフイナツギ
京都府稲葉町	キョウトフイナバチョウ
京都府因幡町	キョウトフイナバチョウ
京都府因幡堂町	キョウトフイナバドウチョウ
京都府稲荷町	キョウトフイナリチョウ
京都府稲荷町北組	キョウトフイナリチョウキタグミ
京都府稲荷町南組	キョウトフイナリチョウミナミグミ
京都府稲荷山官有地	キョウトフイナリヤマカンユウチ
京都府乾谷	キョウトフイヌイダニ
京都府戌亥町	キョウトフイヌイチョウ
京都府乾町	キョウトフイヌイチョウ
京都府井根町	キョウトフイネチョウ
京都府伊根町	キョウトフイネチョウ
京都府伊根町井室	キョウトフイネチョウイムロ
京都府伊根町大原	キョウトフイネチョウオオハラ
京都府伊根町蒲入	キョウトフイネチョウカマニュウ
京都府伊根町亀島	キョウトフイネチョウカメシマ
京都府伊根町菅野	キョウトフイネチョウスガノ
京都府伊根町長延	キョウトフイネチョウチョウエン
京都府伊根町津母	キョウトフイネチョウツモ
京都府伊根町峠	キョウトフイネチョウトウゲ
京都府伊根町泊	キョウトフイネチョウトマリ
京都府伊根町新井	キョウトフイネチョウニイ
京都府伊根町野村	キョウトフイネチョウノムラ
京都府伊根町野室	キョウトフイネチョウノムロ
京都府伊根町畑谷	キョウトフイネチョウハタダニ
京都府伊根町日出	キョウトフイネチョウヒデ
京都府伊根町平田	キョウトフイネチョウヒラタ
京都府伊根町本坂	キョウトフイネチョウホンザカ
京都府伊根町本庄上	キョウトフイネチョウホンジョウアゲ
京都府伊根町本庄宇治	キョウトフイネチョウホンジョウウジ
京都府伊根町本庄浜	キョウトフイネチョウホンジョウハマ
京都府伊根町六万部	キョウトフイネチョウロクマンブ
京都府井ノ内	キョウトフイノウチ
京都府飯岡	キョウトフイノオカ
京都府猪熊	キョウトフイノクマ
京都府井倉新町	キョウトフイノクラシンマチ
京都府井倉町	キョウトフイノクラチョウ
京都府猪野々	キョウトフイノノ
京都府猪鼻	キョウトフイノハナ
京都府射場町	キョウトフイバチョウ
京都府今薬屋町	キョウトフイマクスリヤチョウ
京都府今熊野池田町	キョウトフイマグマノイケダチョウ
京都府今熊野北日吉町	キョウトフイマグマノキタヒヨシチョウ
京都府今熊野小松山町	キョウトフイマグマノコマツヤマチョウ
京都府今熊野泉山町	キョウトフイマグマノセンザンチョウ
京都府今熊野総山町	キョウトフイマグマノソウザンチョウ
京都府今熊野剣宮町	キョウトフイマグマノツルギノミヤチョウ
京都府今熊野椥ノ森町	キョウトフイマグマノナギノモリチョウ
京都府今熊野日吉町	キョウトフイマグマノヒヨシチョウ
京都府今熊野宝蔵町	キョウトフイマグマノホウゾウチョウ
京都府今熊野本多山町	キョウトフイマグマノホンダヤマチョウ
京都府今熊野南谷町	キョウトフイマグマノミナミダニチョウ
京都府今熊野南日吉町	キョウトフイマグマノミナミヒヨシチョウ
京都府今小路町	キョウトフイマコウジチョウ
京都府今里	キョウトフイマザト
京都府今新在家町	キョウトフイマシンザイケチョウ
京都府今新在家西町	キョウトフイマシンザイケニシチョウ
京都府今新在家東町	キョウトフイマシンザイケヒガシチョウ
京都府今図子町	キョウトフイマズシチョウ
京都府今田	キョウトフイマダ
京都府今大黒町	キョウトフイマダイコクチョウ
京都府今田町	キョウトフイマダチョウ
京都府今出川町	キョウトフイマデガワチョウ
京都府今福	キョウトフイマフク
京都府今町	キョウトフイママチ
京都府今道町	キョウトフイマミチチョウ
京都府今安	キョウトフイマヤス
京都府井室	キョウトフイムロ
京都府鋳物師	キョウトフイモジ
京都府岩井	キョウトフイワイ
京都府岩井新町	キョウトフイワイシンマチ
京都府岩井東町	キョウトフイワイヒガシマチ
京都府岩上町	キョウトフイワガミチョウ
京都府井脇	キョウトフイワキ
京都府岩倉上蔵町	キョウトフイワクラアグラチョウ
京都府岩倉大鷺町	キョウトフイワクラオオサギチョウ
京都府岩倉北池田町	キョウトフイワクラキタイケダチョウ
京都府岩倉北桑原町	キョウトフイワクラキタクワハラチョウ
京都府岩倉北平岡町	キョウトフイワクラキタヒラオカチョウ
京都府岩倉北四ノ坪町	キョウトフイワクラキタヨンノツボチョウ
京都府岩倉木野町	キョウトフイワクラキノチョウ
京都府岩倉下在地町	キョウトフイワクラシモザイジチョウ
京都府岩倉忠在地町	キョウトフイワクラチュウザイジチョウ
京都府岩倉中大鷺町	キョウトフイワクラナカオオサギチョウ
京都府岩倉中河原町	キョウトフイワクラナカカワラチョウ
京都府岩倉中在地町	キョウトフイワクラナカザイジチョウ
京都府岩倉中町	キョウトフイワクラナカマチ
京都府岩倉長谷町	キョウトフイワクラナガタニチョウ
京都府岩倉西河原町	キョウトフイワクラニシガワラチョウ
京都府岩倉西五田町	キョウトフイワクラニシゴダチョウ
京都府岩倉西宮田町	キョウトフイワクラニシミヤタチョウ
京都府岩倉幡枝町	キョウトフイワクラハタエダチョウ
京都府岩倉花園町	キョウトフイワクラハナゾノチョウ
京都府岩倉東五田町	キョウトフイワクラヒガシゴダチョウ
京都府岩倉東宮田町	キョウトフイワクラヒガシミヤタチョウ
京都府岩倉三笠町	キョウトフイワクラミカサチョウ
京都府岩倉南池田町	キョウトフイワクラミナミイケダチョウ
京都府岩倉南大鷺町	キョウトフイワクラミナミオオサギチョウ
京都府岩倉南河原町	キョウトフイワクラミナミカワラチョウ
京都府岩倉南木野町	キョウトフイワクラミナミキノチョウ
京都府岩倉南桑原町	キョウトフイワクラミナミクワハラチョウ
京都府岩倉南平岡町	キョウトフイワクラミナミヒラオカチョウ
京都府岩倉南三宅町	キョウトフイワクラミナミミヤケチョウ
京都府岩倉南四ノ坪町	キョウトフイワクラミナミヨンノツボチョウ
京都府岩倉三宅町	キョウトフイワクラミヤケチョウ
京都府岩倉村松町	キョウトフイワクラムラマツチョウ
京都府岩崎	キョウトフイワサキ
京都府岩田岩ノ前	キョウトフイワタイワノマエ
京都府岩田加賀ノ辻	キョウトフイワタカガノツジ
京都府岩滝	キョウトフイワタキ
京都府岩田北浅地	キョウトフイワタキタアサジ
京都府岩田北ノ口	キョウトフイワタキタノクチ
京都府岩滝町	キョウトフイワタキチョウ
京都府岩田高木	キョウトフイワタタカギ
京都府岩田竹綱	キョウトフイワタタケヅナ
京都府岩田大将軍	キョウトフイワタダイショウグン
京都府岩田茶屋ノ前	キョウトフイワタチャヤノマエ
京都府岩田辻垣内	キョウトフイワタツジガイト
京都府岩田西玉造	キョウトフイワタニシタマツクリ
京都府岩田橋溝	キョウトフイワタハシミゾ
京都府岩田八丁	キョウトフイワタハッチョウ
京都府岩田松原	キョウトフイワタマツバラ
京都府岩田南浅地	キョウトフイワタミナミアサジ
京都府岩田南野	キョウトフイワタミナミノ
京都府岩田六ノ坪	キョウトフイワタロクノツボ
京都府岩戸山町	キョウトフイワトヤマチョウ
京都府岩間	キョウトフイワマ
京都府岩屋	キョウトフイワヤ
京都府岩山	キョウトフイワヤマ
京都府印内	キョウトフインナイ
京都府院内	キョウトフインナイ
京都風	キョウトフウ
京都府上杉町	キョウトフウエスギチョウ
京都府植田	キョウトフウエダ
京都府上田町	キョウトフウエダチョウ
京都府上根	キョウトフウエネ
京都府上野	キョウトフウエノ
京都府上野御所ノ内町	キョウトフウエノゴショノウチチョウ
京都府上野町	キョウトフウエノチョウ
京都府上野寺井町	キョウトフウエノテライチョウ
京都府上野山田	キョウトフウエノヤマダ
京都府上松	キョウトフウエマツ
京都府植松町	キョウトフウエマツチョウ
京都府上安	キョウトフウエヤス
京都府上安東町	キョウトフウエヤスヒガシマチ
京都府魚屋	キョウトフウオヤ
京都府魚屋町	キョウトフウオヤチョウ
京都府浮田町	キョウトフウキタチョウ
京都府右京区	キョウトフウキョウク
京都府右京区太秦青木元町	キョウトフウキョウクウズマサアオキモトチョウ
京都府右京区太秦荒木町	キョウトフウキョウクウズマサアラキチョウ
京都府右京区太秦石垣町	キョウトフウキョウクウズマサイシガキチョウ
京都府右京区太秦和泉式部町	キョウトフウキョウクウズマサイズミシキブチョウ
京都府右京区太秦一ノ井町	キョウトフウキョウクウズマサイチノイチョウ
京都府右京区太秦一町芝町	キョウトフウキョウクウズマサイッチョウシバチョウ
京都府右京区太秦乾町	キョウトフウキョウクウズマサイヌイチョウ
京都府右京区太秦馬塚町	キョウトフウキョウクウズマサウマヅカチョウ
京都府右京区太秦奥殿町	キョウトフウキョウクウズマサオクドノチョウ
京都府右京区太秦面影町	キョウトフウキョウクウズマサオモカゲチョウ
京都府右京区太秦海正寺町	キョウトフウキョウクウズマサカイショウジチョウ
京都府右京区太秦開日町	キョウトフウキョウクウズマサカイニチチョウ
京都府右京区太秦垣内町	キョウトフウキョウクウズマサカキウチチョウ
京都府右京区太秦桂木町	キョウトフウキョウクウズマサカツラギチョウ
京都府右京区太秦上刑部町	キョウトフウキョウクウズマサカミケイブチョウ
京都府右京区太秦上ノ段町	キョウトフウキョウクウズマサカミノダンチョウ
京都府右京区太秦唐渡町	キョウトフウキョウクウズマサカラトチョウ
京都府右京区太秦川所町	キョウトフウキョウクウズマサカワドコロチョウ
京都府右京区太秦北路町	キョウトフウキョウクウズマサキタロチョウ
京都府右京区太秦木ノ下町	キョウトフウキョウクウズマサキノシタチョウ
京都府右京区太秦京ノ道町	キョウトフウキョウクウズマサキョウノミチチョウ
京都府右京区太秦組石町	キョウトフウキョウクウズマサクミイシチョウ
京都府右京区太秦小手角町	キョウトフウキョウクウズマサコテスミチョウ
京都府右京区太秦御所ノ内町	キョウトフウキョウクウズマサゴショノウチチョウ
京都府右京区太秦御領田町	キョウトフウキョウクウズマサゴリョウデンチョウ
京都府右京区太秦三尾町	キョウトフウキョウクウズマササンビチョウ
京都府右京区太秦下角田町	キョウトフウキョウクウズマサシモカクダチョウ
京都府右京区太秦下刑部町	キョウトフウキョウクウズマサシモケイブチョウ
京都府右京区太秦朱雀町	キョウトフウキョウクウズマサスジャクチョウ
京都府右京区太秦巽町	キョウトフウキョウクウズマサタツミチョウ
京都府右京区太秦棚森町	キョウトフウキョウクウズマサタナモリチョウ
京都府右京区太秦多薮町	キョウトフウキョウクウズマサタヤブチョウ
京都府右京区太秦垂箕山町	キョウトフウキョウクウズマサタルミヤマチョウ
京都府右京区太秦土本町	キョウトフウキョウクウズマサツチモトチョウ
京都府右京区太秦中筋町	キョウトフウキョウクウズマサナカスジチョウ
京都府右京区太秦中堤町	キョウトフウキョウクウズマサナカツツミチョウ
京都府右京区太秦中山町	キョウトフウキョウクウズマサナカヤマチョウ
京都府右京区太秦西野町	キョウトフウキョウクウズマサニシノチョウ
京都府右京区太秦西蜂岡町	キョウトフウキョウクウズマサニシハチオカチョウ
京都府右京区太秦野元町	キョウトフウキョウクウズマサノモトチョウ
京都府右京区太秦袴田町	キョウトフウキョウクウズマサハカマダチョウ
京都府右京区太秦蜂岡町	キョウトフウキョウクウズマサハチオカチョウ
京都府右京区太秦八反田町	キョウトフウキョウクウズマサハッタンダチョウ
京都府右京区太秦東唐渡町	キョウトフウキョウクウズマサヒガシカラトチョウ
京都府右京区太秦東蜂岡町	キョウトフウキョウクウズマサヒガシハチオカチョウ
京都府右京区太秦樋ノ内町	キョウトフウキョウクウズマサヒノウチチョウ
京都府右京区太秦堀池町	キョウトフウキョウクウズマサホリイケチョウ
京都府右京区太秦前ノ田町	キョウトフウキョウクウズマサマエノダチョウ
京都府右京区太秦松本町	キョウトフウキョウクウズマサマツモトチョウ
京都府右京区太秦皆正寺町	キョウトフウキョウクウズマサミナセイジチョウ
京都府右京区太秦宮ノ前町	キョウトフウキョウクウズマサミヤノマエチョウ
京都府右京区太秦門田町	キョウトフウキョウクウズマサモンダチョウ
京都府右京区太秦安井池田町	キョウトフウキョウクウズマサヤスイイケダチョウ
京都府右京区太秦安井一町田町	キョウトフウキョウクウズマサヤスイイッチョウデンチョウ
京都府右京区太秦安井馬塚町	キョウトフウキョウクウズマサヤスイウマヅカチョウ
京都府右京区太秦安井奥畑町	キョウトフウキョウクウズマサヤスイオクハタチョウ
京都府右京区太秦安井春日町	キョウトフウキョウクウズマサヤスイカスガチョウ
京都府右京区太秦安井北御所町	キョウトフウキョウクウズマサヤスイキタゴショチョウ
京都府右京区太秦安井車道町	キョウトフウキョウクウズマサヤスイクルマミチチョウ
京都府右京区太秦安井小山町	キョウトフウキョウクウズマサヤスイコヤマチョウ
京都府右京区太秦安井辰巳町	キョウトフウキョウクウズマサヤスイタツミチョウ
京都府右京区太秦安井辻ノ内町	キョウトフウキョウクウズマサヤスイツジノウチチョウ
京都府右京区太秦安井西裏町	キョウトフウキョウクウズマサヤスイニシウラチョウ
京都府右京区太秦安井西沢町	キョウトフウキョウクウズマサヤスイニシザワチョウ
京都府右京区太秦安井二条裏町	キョウトフウキョウクウズマサヤスイニジョウウラチョウ
京都府右京区太秦安井東裏町	キョウトフウキョウクウズマサヤスイヒガシウラチョウ
京都府右京区太秦安井藤ノ木町	キョウトフウキョウクウズマサヤスイフジノキチョウ
京都府右京区太秦安井松本町	キョウトフウキョウクウズマサヤスイマツモトチョウ
京都府右京区太秦安井水戸田町	キョウトフウキョウクウズマサヤスイミトデンチョウ
京都府右京区太秦安井柳通町	キョウトフウキョウクウズマサヤスイヤナギドオリチョウ
京都府右京区宇多野御池町	キョウトフウキョウクウタノオイケチョウ
京都府右京区宇多野御屋敷町	キョウトフウキョウクウタノオヤシキチョウ
京都府右京区宇多野上ノ谷町	キョウトフウキョウクウタノカミノタニチョウ
京都府右京区宇多野北ノ院町	キョウトフウキョウクウタノキタノインチョウ
京都府右京区宇多野柴橋町	キョウトフウキョウクウタノシバハシチョウ
京都府右京区宇多野芝町	キョウトフウキョウクウタノシバマチ
京都府右京区宇多野長尾町	キョウトフウキョウクウタノナガオチョウ
京都府右京区宇多野馬場町	キョウトフウキョウクウタノババチョウ
京都府右京区宇多野福王子町	キョウトフウキョウクウタノフクオウジチョウ
京都府右京区宇多野法安寺町	キョウトフウキョウクウタノホウアンジチョウ
京都府右京区梅津石灘町	キョウトフウキョウクウメヅイシナダチョウ
京都府右京区梅津上田町	キョウトフウキョウクウメヅウエダチョウ
京都府右京区梅津大縄場町	キョウトフウキョウクウメヅオオナワバチョウ
京都府右京区梅津構口町	キョウトフウキョウクウメヅカマエグチチョウ
京都府右京区梅津神田町	キョウトフウキョウクウメヅカンダチョウ
京都府右京区梅津北浦町	キョウトフウキョウクウメヅキタウラチョウ
京都府右京区梅津北川町	キョウトフウキョウクウメヅキタガワチョウ
京都府右京区梅津北町	キョウトフウキョウクウメヅキタマチ
京都府右京区梅津後藤町	キョウトフウキョウクウメヅゴトウチョウ
京都府右京区梅津坂本町	キョウトフウキョウクウメヅサカモトチョウ
京都府右京区梅津尻溝町	キョウトフウキョウクウメヅシリミゾチョウ
京都府右京区梅津高畝町	キョウトフウキョウクウメヅタカゼチョウ
京都府右京区梅津段町	キョウトフウキョウクウメヅダンマチ
京都府右京区梅津堤上町	キョウトフウキョウクウメヅツツミカミチョウ
京都府右京区梅津堤下町	キョウトフウキョウクウメヅツツミシタチョウ
京都府右京区梅津徳丸町	キョウトフウキョウクウメヅトクマルチョウ
京都府右京区梅津中倉町	キョウトフウキョウクウメヅナカクラチョウ
京都府右京区梅津中村町	キョウトフウキョウクウメヅナカムラチョウ
京都府右京区梅津西浦町	キョウトフウキョウクウメヅニシウラチョウ
京都府右京区梅津林口町	キョウトフウキョウクウメヅハヤシクチチョウ
京都府右京区梅津東構口町	キョウトフウキョウクウメヅヒガシカマエグチチョウ
京都府右京区梅津開キ町	キョウトフウキョウクウメヅヒラキチョウ
京都府右京区梅津フケノ川町	キョウトフウキョウクウメヅフケノカワチョウ
京都府右京区梅津罧原町	キョウトフウキョウクウメヅフシハラチョウ
京都府右京区梅津前田町	キョウトフウキョウクウメヅマエダチョウ
京都府右京区梅津南上田町	キョウトフウキョウクウメヅミナミウエダチョウ
京都府右京区梅津南広町	キョウトフウキョウクウメヅミナミヒロチョウ
京都府右京区梅津南町	キョウトフウキョウクウメヅミナミマチ
京都府右京区御室大内	キョウトフウキョウクオムロオオウチ
京都府右京区御室岡ノ裾町	キョウトフウキョウクオムロオカノスソチョウ
京都府右京区御室小松野町	キョウトフウキョウクオムロコマツノチョウ
京都府右京区御室芝橋町	キョウトフウキョウクオムロシバハシチョウ
京都府右京区御室住吉山町	キョウトフウキョウクオムロスミヨシヤマチョウ
京都府右京区御室竪町	キョウトフウキョウクオムロタテマチ
京都府右京区御室双岡町	キョウトフウキョウクオムロナラビガオカチョウ
京都府右京区音戸山山ノ茶屋町	キョウトフウキョウクオンドヤマヤマノチャヤチョウ
京都府右京区北嵯峨赤坂町	キョウトフウキョウクキタサガアカサカチョウ
京都府右京区北嵯峨北ノ段町	キョウトフウキョウクキタサガキタノダンチョウ
京都府右京区北嵯峨気比社町	キョウトフウキョウクキタサガキビシャチョウ
京都府右京区北嵯峨山王町	キョウトフウキョウクキタサガサンオウチョウ
京都府右京区北嵯峨長刀坂町	キョウトフウキョウクキタサガナギナタザカチョウ
京都府右京区北嵯峨名古曽町	キョウトフウキョウクキタサガナコソチョウ
京都府右京区北嵯峨八丈町	キョウトフウキョウクキタサガハチジョウチョウ
京都府右京区北嵯峨洞ノ内町	キョウトフウキョウクキタサガホラノウチチョウ
京都府右京区北嵯峨六代芝町	キョウトフウキョウクキタサガロクダイシバチョウ
京都府右京区京北赤石町	キョウトフウキョウクケイホクアカイシチョウ
京都府右京区京北明石町	キョウトフウキョウクケイホクアケシチョウ
京都府右京区京北浅江町	キョウトフウキョウクケイホクアザエチョウ
京都府右京区京北井崎町	キョウトフウキョウクケイホクイザキチョウ
京都府右京区京北井戸町	キョウトフウキョウクケイホクイドチョウ
京都府右京区京北宇野町	キョウトフウキョウクケイホクウノチョウ
京都府右京区京北漆谷町	キョウトフウキョウクケイホクウルシタニチョウ
京都府右京区京北大野町	キョウトフウキョウクケイホクオオノチョウ
京都府右京区京北小塩町	キョウトフウキョウクケイホクオシオチョウ
京都府右京区京北柏原町	キョウトフウキョウクケイホクカシワラチョウ
京都府右京区京北片波町	キョウトフウキョウクケイホクカタナミチョウ
京都府右京区京北上黒田町	キョウトフウキョウクケイホクカミクロダチョウ
京都府右京区京北上中町	キョウトフウキョウクケイホクカミナカチョウ
京都府右京区京北上弓削町	キョウトフウキョウクケイホクカミユゲチョウ
京都府右京区京北熊田町	キョウトフウキョウクケイホククマタチョウ
京都府右京区京北五本松町	キョウトフウキョウクケイホクゴホンマツチョウ
京都府右京区京北塩田町	キョウトフウキョウクケイホクシオタチョウ
京都府右京区京北室谷町	キョウトフウキョウクケイホクシツタンチョウ
京都府右京区京北下宇津町	キョウトフウキョウクケイホクシモウツチョウ
京都府右京区京北下熊田町	キョウトフウキョウクケイホクシモクマタチョウ
京都府右京区京北下黒田町	キョウトフウキョウクケイホクシモクロダチョウ
京都府右京区京北下町	キョウトフウキョウクケイホクシモチョウ
京都府右京区京北下中町	キョウトフウキョウクケイホクシモナカチョウ
京都府右京区京北下弓削町	キョウトフウキョウクケイホクシモユゲチョウ
京都府右京区京北周山町	キョウトフウキョウクケイホクシュウザンチョウ
京都府右京区京北芹生町	キョウトフウキョウクケイホクセリョウチョウ
京都府右京区京北田貫町	キョウトフウキョウクケイホクタヌキチョウ
京都府右京区京北中地町	キョウトフウキョウクケイホクチュウジチョウ
京都府右京区京北辻町	キョウトフウキョウクケイホクツジチョウ
京都府右京区京北塔町	キョウトフウキョウクケイホクトウチョウ
京都府右京区京北栃本町	キョウトフウキョウクケイホクトチモトチョウ
京都府右京区京北鳥居町	キョウトフウキョウクケイホクトリイチョウ
京都府右京区京北中江町	キョウトフウキョウクケイホクナカエチョウ
京都府右京区京北西町	キョウトフウキョウクケイホクニシチョウ
京都府右京区京北灰屋町	キョウトフウキョウクケイホクハイヤチョウ
京都府右京区京北初川町	キョウトフウキョウクケイホクハツカワチョウ
京都府右京区京北比賀江町	キョウトフウキョウクケイホクヒガエチョウ
京都府右京区京北細野町	キョウトフウキョウクケイホクホソノチョウ
京都府右京区京北宮町	キョウトフウキョウクケイホクミヤチョウ
京都府右京区京北矢代中町	キョウトフウキョウクケイホクヤシロナカチョウ
京都府右京区京北弓槻町	キョウトフウキョウクケイホクユヅキチョウ
京都府右京区西院乾町	キョウトフウキョウクサイインイヌイチョウ
京都府右京区西院追分町	キョウトフウキョウクサイインオイワケチョウ
京都府右京区西院太田町	キョウトフウキョウクサイインオオタチョウ
京都府右京区西院笠目町	キョウトフウキョウクサイインカサメチョウ
京都府右京区西院春日町	キョウトフウキョウクサイインカスガチョウ
京都府右京区西院金槌町	キョウトフウキョウクサイインカナヅチチョウ
京都府右京区西院上今田町	キョウトフウキョウクサイインカミイマダチョウ
京都府右京区西院上花田町	キョウトフウキョウクサイインカミハナダチョウ
京都府右京区西院北井御料町	キョウトフウキョウクサイインキタイゴリョウチョウ
京都府右京区西院北矢掛町	キョウトフウキョウクサイインキタヤカケチョウ
京都府右京区西院久田町	キョウトフウキョウクサイインクデンチョウ
京都府右京区西院久保田町	キョウトフウキョウクサイインクボタチョウ
京都府右京区西院高山寺町	キョウトフウキョウクサイインコウザンジチョウ
京都府右京区西院小米町	キョウトフウキョウクサイインコゴメチョウ
京都府右京区西院寿町	キョウトフウキョウクサイインコトブキチョウ
京都府右京区西院三蔵町	キョウトフウキョウクサイインサンゾウチョウ
京都府右京区西院四条畑町	キョウトフウキョウクサイインシジョウバタチョウ
京都府右京区西院清水町	キョウトフウキョウクサイインシミズチョウ
京都府右京区西院下花田町	キョウトフウキョウクサイインシモハナダチョウ
京都府右京区西院春栄町	キョウトフウキョウクサイインシュンエイチョウ
京都府右京区西院高田町	キョウトフウキョウクサイインタカダチョウ
京都府右京区西院巽町	キョウトフウキョウクサイインタツミチョウ
京都府右京区西院月双町	キョウトフウキョウクサイインツキソウチョウ
京都府右京区西院中水町	キョウトフウキョウクサイインナカミズチョウ
京都府右京区西院西今田町	キョウトフウキョウクサイインニシイマダチョウ
京都府右京区西院西貝川町	キョウトフウキョウクサイインニシカイガワチョウ
京都府右京区西院西寿町	キョウトフウキョウクサイインニシコトブキチョウ
京都府右京区西院西三蔵町	キョウトフウキョウクサイインニシサンゾウチョウ
京都府右京区西院西淳和院町	キョウトフウキョウクサイインニシジュンナインチョウ
京都府右京区西院西高田町	キョウトフウキョウクサイインニシタカダチョウ
京都府右京区西院西田町	キョウトフウキョウクサイインニシダチョウ
京都府右京区西院西中水町	キョウトフウキョウクサイインニシナカミズチョウ
京都府右京区西院西平町	キョウトフウキョウクサイインニシヒラマチ
京都府右京区西院西溝崎町	キョウトフウキョウクサイインニシミゾサキチョウ
京都府右京区西院西矢掛町	キョウトフウキョウクサイインニシヤカケチョウ
京都府右京区西院東今田町	キョウトフウキョウクサイインヒガシイマダチョウ
京都府右京区西院東貝川町	キョウトフウキョウクサイインヒガシカイガワチョウ
京都府右京区西院東淳和院町	キョウトフウキョウクサイインヒガシジュンナインチョウ
京都府右京区西院東中水町	キョウトフウキョウクサイインヒガシナカミズチョウ
京都府右京区西院坤町	キョウトフウキョウクサイインヒツジサルチョウ
京都府右京区西院日照町	キョウトフウキョウクサイインヒデリチョウ
京都府右京区西院平町	キョウトフウキョウクサイインヒラマチ
京都府右京区西院松井町	キョウトフウキョウクサイインマツイチョウ
京都府右京区西院溝崎町	キョウトフウキョウクサイインミゾサキチョウ
京都府右京区西院南井御料町	キョウトフウキョウクサイインミナミイゴリョウチョウ
京都府右京区西院南寿町	キョウトフウキョウクサイインミナミコトブキチョウ
京都府右京区西院南高田町	キョウトフウキョウクサイインミナミタカダチョウ
京都府右京区西院矢掛町	キョウトフウキョウクサイインヤカケチョウ
京都府右京区西院安塚町	キョウトフウキョウクサイインヤスヅカチョウ
京都府右京区西院六反田町	キョウトフウキョウクサイインロクタンダチョウ
京都府右京区嵯峨朝日町	キョウトフウキョウクサガアサヒチョウ
京都府右京区嵯峨愛宕町	キョウトフウキョウクサガアタゴチョウ
京都府右京区嵯峨伊勢ノ上町	キョウトフウキョウクサガイセノカミチョウ
京都府右京区嵯峨一本木町	キョウトフウキョウクサガイッポンギチョウ
京都府右京区嵯峨梅ノ木町	キョウトフウキョウクサガウメノキチョウ
京都府右京区嵯峨大沢落久保町	キョウトフウキョウクサガオオサワオチクボチョウ
京都府右京区嵯峨大沢町	キョウトフウキョウクサガオオサワチョウ
京都府右京区嵯峨大沢柳井手町	キョウトフウキョウクサガオオサワヤナギイデチョウ
京都府右京区嵯峨小倉山小倉町	キョウトフウキョウクサガオグラヤマオグラチョウ
京都府右京区嵯峨小倉山田渕山町	キョウトフウキョウクサガオグラヤマタブチヤマチョウ
京都府右京区嵯峨小倉山町	キョウトフウキョウクサガオグラヤマチョウ
京都府右京区嵯峨小倉山堂ノ前町	キョウトフウキョウクサガオグラヤマドウノマエチョウ
京都府右京区嵯峨小倉山緋明神町	キョウトフウキョウクサガオグラヤマヒノミョウジンチョウ
京都府右京区嵯峨小倉山山本町	キョウトフウキョウクサガオグラヤマヤマモトチョウ
京都府右京区嵯峨折戸町	キョウトフウキョウクサガオリトチョウ
京都府右京区嵯峨甲塚町	キョウトフウキョウクサガカブトヅカチョウ
京都府右京区嵯峨亀ノ尾町	キョウトフウキョウクサガカメノオチョウ
京都府右京区嵯峨亀山町	キョウトフウキョウクサガカメヤマチョウ
京都府右京区嵯峨苅分町	キョウトフウキョウクサガカリワケチョウ
京都府右京区嵯峨観空寺岡崎町	キョウトフウキョウクサガカンクウジオカザキチョウ
京都府右京区嵯峨観空寺久保殿町	キョウトフウキョウクサガカンクウジクボデンチョウ
京都府右京区嵯峨観空寺谷町	キョウトフウキョウクサガカンクウジダニチョウ
京都府右京区嵯峨観空寺明水町	キョウトフウキョウクサガカンクウジミョウズイチョウ
京都府右京区嵯峨北堀町	キョウトフウキョウクサガキタボリチョウ
京都府右京区嵯峨清滝一華表町	キョウトフウキョウクサガキヨタキイッカヒョウチョウ
京都府右京区嵯峨清滝大谷町	キョウトフウキョウクサガキヨタキオオタニチョウ
京都府右京区嵯峨清滝空也滝町	キョウトフウキョウクサガキヨタキクウヤダキチョウ
京都府右京区嵯峨清滝田鶴原町	キョウトフウキョウクサガキヨタキタヅハラチョウ
京都府右京区嵯峨清滝町	キョウトフウキョウクサガキヨタキチョウ
京都府右京区嵯峨清滝月ノ輪町	キョウトフウキョウクサガキヨタキツキノワチョウ
京都府右京区嵯峨清滝深谷町	キョウトフウキョウクサガキヨタキフカタニチョウ
京都府右京区嵯峨越畑北ノ町	キョウトフウキョウクサガコシハタキタノチョウ
京都府右京区嵯峨越畑正権条	キョウトフウキョウクサガコシハタショウゴンジョウ
京都府右京区嵯峨越畑尻谷	キョウトフウキョウクサガコシハタシリタニ
京都府右京区嵯峨越畑筋違	キョウトフウキョウクサガコシハタスジチガイ
京都府右京区嵯峨越畑天慶	キョウトフウキョウクサガコシハタテンケイ
京都府右京区嵯峨越畑中ノ町	キョウトフウキョウクサガコシハタナカノチョウ
京都府右京区嵯峨越畑鍋浦	キョウトフウキョウクサガコシハタナベウラ
